activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value,pref_name
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,ug.mL-1,0.00494,ng/ml,4.94,Neuraminidase
,COc1cccc2oc3ccc(O)cc3c(=O)c12,CHEMBL2029867,ug.mL-1,100.0,ug ml-1,100.0,Neuraminidase
,O=c1c2cccc(O)c2oc2cc(O)c(O)c(O)c12,CHEMBL2029866,ug.mL-1,19.81,ug ml-1,19.81,Neuraminidase
,COc1cc(O)c2oc3ccccc3c(=O)c2c1OC,CHEMBL2029865,ug.mL-1,100.0,ug ml-1,100.0,Neuraminidase
,O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,CHEMBL361025,ug.mL-1,24.77,ug ml-1,24.77,Neuraminidase
,COc1c(O)cc2oc3cc(O)ccc3c(=O)c2c1OC,CHEMBL2029864,ug.mL-1,100.0,ug ml-1,100.0,Neuraminidase
,COc1ccc(O)c2c(=O)c3cc(O)ccc3oc12,CHEMBL484030,ug.mL-1,25.59,ug ml-1,25.59,Neuraminidase
,COc1c(O)cc2c(=O)c3ccccc3oc2c1OC,CHEMBL2029863,ug.mL-1,100.0,ug ml-1,100.0,Neuraminidase
,O=c1c2cc(O)ccc2oc2cccc(O)c12,CHEMBL389166,ug.mL-1,22.45,ug ml-1,22.45,Neuraminidase
,COc1c2c(cc3c(=O)c4ccccc4oc13)OCO2,CHEMBL2029862,ug.mL-1,100.0,ug ml-1,100.0,Neuraminidase
,O=c1c2ccccc2oc2cc(O)cc(O)c12,CHEMBL388525,ug.mL-1,15.46,ug ml-1,15.46,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,ug.mL-1,0.03974,ng/ml,39.74,Neuraminidase
,COc1cccc2oc3ccc(O)cc3c(=O)c12,CHEMBL2029867,ug.mL-1,100.0,ug ml-1,100.0,Neuraminidase
,O=c1c2cccc(O)c2oc2cc(O)c(O)c(O)c12,CHEMBL2029866,ug.mL-1,26.87,ug ml-1,26.87,Neuraminidase
,COc1cc(O)c2oc3ccccc3c(=O)c2c1OC,CHEMBL2029865,ug.mL-1,100.0,ug ml-1,100.0,Neuraminidase
,O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,CHEMBL361025,ug.mL-1,26.81,ug ml-1,26.81,Neuraminidase
,COc1c(O)cc2oc3cc(O)ccc3c(=O)c2c1OC,CHEMBL2029864,ug.mL-1,100.0,ug ml-1,100.0,Neuraminidase
,COc1ccc(O)c2c(=O)c3cc(O)ccc3oc12,CHEMBL484030,ug.mL-1,28.42,ug ml-1,28.42,Neuraminidase
